year,hd,cs,fledg,LVspr,LVfal,Builtup_200,Farmlands_1000,OS_700,MP_900,OP_2500,NNPO,NNTO,POdens_500,POdens_3000,TOdens_500,TOdens_3000
2006,33,5,5,-0.596237075461365,0.384223138516035,-0.263437177500583,-0.776681524146685,-0.243786780620889,0.310785854399319,-0.808167259792487,-0.97071477304564,0.228555389498335,-0.187233131352535,0.56979004488146,-0.409695700641098,-0.59309438692979
2006,29,6,6,-0.596237075461365,0.384223138516035,-0.263437177500583,-0.294299424579707,-0.7006609542737,-0.545346681918881,0.204964566250383,-0.460404736433041,1.13933093892369,-0.242343984040554,-0.146125344497809,-0.409695708107591,-0.678449382430848
2007,24,8,6,-1.65637400238703,-1.38770404629927,-0.263437177500583,-0.294299424579707,-0.7006609542737,-0.548757568517761,0.199839110132123,-0.460404736433041,0.00781570323858551,-0.242343955848938,0.626884043969116,-0.409694520493042,-0.668637298238061
2009,37,5,4,0.273829565774649,1.31614188970133,-0.263437177500583,-0.294299424579707,-0.7006609542737,-0.603331754099798,0.122957268358209,-0.460404736433041,0.469793186406915,-0.242343936813004,1.0194813609755,-0.409695708090434,-0.532276503873075
2007,24,7,6,-1.65637400238703,-1.38770404629927,-0.263437177500583,-0.232545194441904,-0.27234141647419,1.07141356594896,-0.62706781028061,0.429089884289096,0.846437130328071,-0.24235140985256,-0.496351097087097,-0.409695708107591,-0.785751414437739
2002,20,8,7,0.955325812618146,0.0139408369055884,-0.263437177500583,0.438595117999108,0.15597812132532,0.662107174083682,1.88098871692164,-0.731025818278549,-0.624718196843135,-0.242351409852557,-0.569143467588654,-0.314193267482115,0.426783367609722
2002,17,8,8,0.955325812618146,0.0139408369055884,-0.263437177500583,0.211386158058142,-0.871988769393504,0.259622555416161,2.70277018121611,-0.731025818278549,-0.847174483964708,-0.24091267301325,0.516782441938028,0.252946369157268,0.334554268243158
2005,15,8,5,0.948600548181125,0.379829822669963,-0.263437177500583,0.211386158058142,-0.871988769393504,0.194815710037501,2.59684408810539,1.04972993394276,-0.860810018204862,-0.24235140985256,-0.583097725635438,0.758543020996383,1.97222678562365
2009,20,5,5,0.273829565774649,1.31614188970133,-0.263437177500583,0.211386158058142,-0.871988769393504,0.153885070850965,2.47725011201264,-1.05427355083953,-0.847174483964708,-0.085478550721584,1.64231448071485,0.24737277914883,0.986126134376204
2010,31,7,4,-1.2366333052587,-1.27926256820974,-0.263437177500583,0.211386158058142,-0.871988769393504,0.109543545065565,2.43624646306655,1.37282058367178,0.0849466493575453,-0.24235140985256,-0.931867458485286,-0.409695557203388,-0.581179251231607
2011,21,9,9,1.29433104658498,-0.44088921402239,-0.263437177500583,0.211386158058142,-0.871988769393504,0.0617911326812863,2.28589975026424,0.876158562993287,-0.0799270844546702,-0.24235140985256,-0.725525265037933,-0.409686039640308,0.115566432072891
2012,18,8,7,0.354346380301845,1.29170948323307,-0.263437177500583,0.211386158058142,-0.871988769393504,0.0617911326812863,2.28589975026424,-1.04565043825079,-1.16789667126531,-0.100769604588167,1.17842314285021,3.35792416040238,1.7765733182191
2005,32,7,7,0.948600548181125,0.379829822669963,-0.263437177500583,-0.614722316804149,-0.358005324034092,-0.170149156042379,-0.403256226449888,2.0309967644886,-0.05295832988471,-0.24235140985256,-0.966764795401577,-0.409690757496562,0.699936525193881
2003,15,9,9,0.318596397968691,1.37001127601856,-0.263437177500583,-0.622878535878953,-0.529333139153896,0.535904369925226,-0.152108876655113,1.8444070188768,-0.115019240660541,-0.24235140985256,-0.913454668695094,-0.409640457922137,1.49328555838901
2003,15,7,7,0.318596397968691,1.37001127601856,-0.263437177500583,0.277801084810117,-0.786324861833602,0.089078225472305,1.98349783928686,-0.624386924655306,-0.924431207554754,-0.242142503972207,0.13317684387279,0.920615831701246,2.8841978138124
2003,12,8,8,0.318596397968691,1.37001127601856,-0.263437177500583,0.482871735833763,-0.0439043296477862,-0.129218516855844,-0.363961062876558,0.0232798869385619,-0.72906506660168,-0.242351409823529,0.0424122612307923,-0.181504348382683,3.48378234850321
2007,34,5,5,-1.65637400238703,-1.38770404629927,-0.263437177500583,-1.05748849515065,-0.472223867447295,2.00940738064022,-0.370795004367575,-1.32579275691635,-0.123214393411218,1.86063804802895,1.10683092263536,-0.409649427221396,-0.581991632980012
