female,mother.species,treatment,normal,deformed,aborted,weight,mean.weight,Seed.set,date
Sur 1-385,Latifolia,M.pollen,60,0,184,74.77,1.246166667,0.245901639,18.05
Sur 1-385,Latifolia,M.pollen,77,0,358,131.24,1.704415584,0.177011494,16.05
Sur 1-385,Latifolia,M.pollen,183,2,165,134.68,0.735956284,0.522857143,16.05
Sur 1-385,Latifolia,M.pollen,151,1,262,120.74,0.799602649,0.3647343,25.05
Sur 1-385,Latifolia,M.pollen,101,2,193,87.7,0.868316832,0.341216216,25.05
Sur 3-223,Latifolia,D.pollen,61,0,123,51,0.836065574,0.331521739,19.05
Sur 3-223,Latifolia,D.pollen,77,0,82,74.9,0.972727273,0.48427673,17.05
Sur 3-223,Latifolia,D.pollen,84,2,84,72.76,0.866190476,0.494117647,22.05
Sur 3-223,Latifolia,D.pollen,13,0,133,13.1,1.007692308,0.089041096,22.05
Sur 3-223,Latifolia,L.pollen,91,0,54,79.7,0.875824176,0.627586207,18.05
Sur 3-223,Latifolia,L.pollen,60,0,97,64.4,1.073333333,0.382165605,17.05
Sur 3-223,Latifolia,L.pollen,102,1,94,83,0.81372549,0.517766497,19.05
Sur 3-223,Latifolia,L.pollen,54,7,82,54,1,0.377622378,26.05
Sur 3-223,Latifolia,M.pollen,80,0,68,69.01,0.862625,0.540540541,17.05
Sur 3-223,Latifolia,M.pollen,23,0,139,28.3,1.230434783,0.141975309,17.05
Sur 3-223,Latifolia,M.pollen,59,1,105,58.05,0.983898305,0.357575758,19.05
Sur 3-223,Latifolia,M.pollen,91,1,89,79.93,0.878351648,0.502762431,25.05
Sur 3-223,Latifolia,M.pollen,96,0,85,84.34,0.878541667,0.53038674,25.05
Sur 4-364,Latifolia,L.pollen,222,11,171,239.07,1.076891892,0.54950495,19.05
Sur 4-364,Latifolia,M.pollen,263,7,129,175.4,0.666920152,0.65914787,25.05
Sur 4-364,Latifolia,M.pollen,214,17,164,168.26,0.786261682,0.541772152,25.05
