"date","color","site","id","wheel","sex","svl","mass","cycle","CC","CY","YC","CR","RC"
"6/22/2024","yellow","bolita","ANAQ_015_2028",1,"F",4,3.4,5,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_016_2024",2,"F",5.9,5.1,1,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_016_2025",2,"F",5.9,5.1,2,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_016_2026",2,"F",5.9,5.1,3,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_016_2027",2,"F",5.9,5.1,4,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_016_2028",2,"F",5.9,5.1,5,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_017_2024",1,"F",4.5,2.8,1,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_017_2025",1,"F",4.5,2.8,2,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_017_2026",1,"F",4.5,2.8,3,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_017_2027",1,"F",4.5,2.8,4,0,0,0,0,0
"6/22/2024","yellow","bolita","ANAQ_017_2028",1,"F",4.5,2.8,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_018_2024_LC",1,"F",5.9,6.7,1,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_018_2024_LC",1,"F",5.9,6.7,2,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_018_2024_LC",1,"F",5.9,6.7,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_018_2024_LC",1,"F",5.9,6.7,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_018_2024_LC",1,"F",5.9,6.7,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_019_2024_LC",2,"M",6.8,7,1,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_019_2024_LC",2,"M",6.8,7,2,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_019_2024_LC",2,"M",6.8,7,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_019_2024_LC",2,"M",6.8,7,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_019_2024_LC",2,"M",6.8,7,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_020_2024_LC",1,"M",6.4,8.2,1,0,0,1,0,0
"7/8/2024","red","lascruces","ANAQ_020_2024_LC",1,"M",6.4,8.2,2,0,0,0,1,0
"7/8/2024","red","lascruces","ANAQ_020_2024_LC",1,"M",6.4,8.2,3,0,0,0,1,0
"7/8/2024","red","lascruces","ANAQ_020_2024_LC",1,"M",6.4,8.2,4,0,0,0,1,0
"7/8/2024","red","lascruces","ANAQ_020_2024_LC",1,"M",6.4,8.2,5,0,0,1,0,0
"7/8/2024","red","lascruces","ANAQ_021_2024_LC",2,"M",6.9,8.8,1,0,1,0,1,0
"7/8/2024","red","lascruces","ANAQ_021_2024_LC",2,"M",6.9,8.8,2,1,0,1,1,0
"7/8/2024","red","lascruces","ANAQ_021_2024_LC",2,"M",6.9,8.8,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_021_2024_LC",2,"M",6.9,8.8,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_021_2024_LC",2,"M",6.9,8.8,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_022_2024_LC",1,"F",5.8,6.7,1,0,0,0,1,0
"7/8/2024","red","lascruces","ANAQ_022_2024_LC",1,"F",5.8,6.7,2,0,1,0,0,0
"7/8/2024","red","lascruces","ANAQ_022_2024_LC",1,"F",5.8,6.7,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_022_2024_LC",1,"F",5.8,6.7,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_022_2024_LC",1,"F",5.8,6.7,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_023_2024_LC",2,"M",6.8,7.5,1,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_023_2024_LC",2,"M",6.8,7.5,2,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_023_2024_LC",2,"M",6.8,7.5,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_023_2024_LC",2,"M",6.8,7.5,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_023_2024_LC",2,"M",6.8,7.5,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_024_2024_LC",1,"F",6.4,8.9,1,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_024_2024_LC",1,"F",6.4,8.9,2,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_024_2024_LC",1,"F",6.4,8.9,3,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_024_2024_LC",1,"F",6.4,8.9,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_024_2024_LC",1,"F",6.4,8.9,5,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_025_2024_LC",2,"F",6,8.1,1,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_025_2024_LC",2,"F",6,8.1,2,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_025_2024_LC",2,"F",6,8.1,3,0,1,0,0,0
"7/8/2024","red","lascruces","ANAQ_025_2024_LC",2,"F",6,8.1,4,0,0,0,0,0
"7/8/2024","red","lascruces","ANAQ_025_2024_LC",2,"F",6,8.1,5,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_027_2024_LL",1,"M",4.3,2.9,1,0,0,0,1,0
"7/11/2024","red","lomalinda","ANAQ_027_2024_LL",1,"M",4.3,2.9,2,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_027_2024_LL",1,"M",4.3,2.9,3,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_027_2024_LL",1,"M",4.3,2.9,4,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_027_2024_LL",1,"M",4.3,2.9,5,0,0,0,0,0
"7/8/2024","red","lomalinda","ANAQ_028_2024_LL",2,"F",5.4,4.4,1,0,0,0,0,0
"7/8/2024","red","lomalinda","ANAQ_028_2024_LL",2,"F",5.4,4.4,2,0,0,0,0,0
"7/8/2024","red","lomalinda","ANAQ_028_2024_LL",2,"F",5.4,4.4,3,0,0,0,0,0
"7/8/2024","red","lomalinda","ANAQ_028_2024_LL",2,"F",5.4,4.4,4,0,0,0,0,0
"7/8/2024","red","lomalinda","ANAQ_028_2024_LL",2,"F",5.4,4.4,5,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_030_2024_LL",1,"F",5.5,7.7,1,0,0,0,0,1
"7/11/2024","red","lomalinda","ANAQ_030_2024_LL",1,"F",5.5,7.7,2,0,0,1,0,0
"7/11/2024","red","lomalinda","ANAQ_030_2024_LL",1,"F",5.5,7.7,3,0,0,0,1,0
"7/11/2024","red","lomalinda","ANAQ_030_2024_LL",1,"F",5.5,7.7,4,0,0,0,0,0
"7/11/2024","red","lomalinda","ANAQ_030_2024_LL",1,"F",5.5,7.7,5,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_031_2024_LL",2,"M",6.6,7.6,1,0,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_031_2024_LL",2,"M",6.6,7.6,2,1,0,0,0,0
"7/14/2024","red","lomalinda","ANAQ_031_2024_LL",2,"M",6.6,7.6,3,0,1,0,0,0
