tray,block,ind,germ,area,cross
lc_1,8,17,1,0.412,cal
lc_1,8,18,1,0.456,cal
lc_1,8,19,0,0.34,cal
lc_1,8,20,0,0.242,cal
lc_1,9,1,1,0.227,lon
lc_1,9,2,1,0.22,lon
lc_1,9,3,1,0.273,lon
lc_1,9,4,1,0.295,lon
lc_1,9,5,0,0.284,lon
lc_1,9,6,1,0.203,lon
lc_1,9,7,1,0.256,lon
lc_1,9,8,1,0.271,lon
lc_1,9,9,1,0.28,lon
lc_1,9,10,1,0.267,lon
lc_1,9,11,1,0.318,lon
lc_1,9,12,1,0.319,lon
lc_1,9,13,1,0.235,lon
lc_1,9,14,1,0.316,lon
lc_1,9,15,1,0.286,lon
lc_1,9,16,1,0.289,lon
lc_1,9,17,1,0.292,lon
lc_1,9,18,1,0.265,lon
lc_1,9,19,1,0.294,lon
lc_1,9,20,0,0.282,lon
lc_1,10,1,1,0.301,bc_cal
lc_1,10,2,1,0.264,bc_cal
lc_1,10,3,1,0.298,bc_cal
lc_1,10,4,1,0.35,bc_cal
lc_1,10,5,1,0.255,bc_cal
lc_1,10,6,1,0.299,bc_cal
lc_1,10,7,1,0.34,bc_cal
lc_1,10,8,1,0.39,bc_cal
lc_1,10,9,0,0.356,bc_cal
lc_1,10,10,1,0.346,bc_cal
lc_1,10,11,1,0.269,bc_cal
lc_1,10,12,1,0.323,bc_cal
lc_1,10,13,0,0.236,bc_cal
lc_1,10,14,0,0.269,bc_cal
lc_1,10,15,0,0.312,bc_cal
lc_1,10,16,1,0.332,bc_cal
lc_1,10,17,1,0.251,bc_cal
lc_1,10,18,0,0.281,bc_cal
lc_1,10,19,1,0.32,bc_cal
lc_1,10,20,0,0.324,bc_cal
lc_1,11,1,1,0.311,f1
lc_1,11,2,1,0.379,f1
lc_1,11,3,1,0.392,f1
lc_1,11,4,1,0.391,f1
lc_1,11,5,1,0.373,f1
lc_1,11,6,1,0.397,f1
lc_1,11,7,0,0.372,f1
lc_1,11,8,1,0.378,f1
lc_1,11,9,1,0.371,f1
lc_1,11,10,1,0.39,f1
lc_1,11,11,1,0.402,f1
lc_1,11,12,0,0.319,f1
lc_1,11,13,1,0.394,f1
lc_1,11,14,1,0.382,f1
lc_1,11,15,1,0.333,f1
lc_1,11,16,1,0.41,f1
lc_1,11,17,1,0.385,f1
lc_1,11,18,1,0.383,f1
lc_1,11,19,1,0.333,f1
lc_1,11,20,1,0.347,f1
lc_1,12,1,1,0.295,bc_lon
lc_1,12,2,1,0.317,bc_lon
lc_1,12,3,1,0.252,bc_lon
lc_1,12,4,1,0.301,bc_lon
lc_1,12,5,1,0.27,bc_lon
lc_1,12,6,0,0.342,bc_lon
lc_1,12,7,0,0.303,bc_lon
lc_1,12,8,1,0.357,bc_lon
lc_1,12,9,1,0.247,bc_lon
lc_1,12,10,1,0.34,bc_lon
lc_1,12,11,1,0.277,bc_lon
lc_1,12,12,1,0.248,bc_lon
lc_1,12,13,1,0.282,bc_lon
lc_1,12,14,1,0.38,bc_lon
lc_1,12,15,1,0.276,bc_lon
lc_1,12,16,1,0.304,bc_lon
lc_1,12,17,1,0.316,bc_lon
lc_1,12,18,1,0.372,bc_lon
lc_1,12,19,0,0.327,bc_lon
lc_1,12,20,1,0.315,bc_lon
lc_2,1,1,1,0.223,bc_lon
lc_2,1,2,0,0.164,bc_lon
lc_2,1,3,1,0.28,bc_lon
lc_2,1,4,1,0.324,bc_lon
lc_2,1,5,0,0.241,bc_lon
lc_2,1,6,1,0.337,bc_lon
lc_2,1,7,1,0.196,bc_lon
lc_2,1,8,0,0.316,bc_lon
lc_2,1,9,1,0.357,bc_lon
lc_2,1,10,1,0.242,bc_lon
lc_2,1,11,0,0.287,bc_lon
lc_2,1,12,1,0.282,bc_lon
lc_2,1,13,1,0.262,bc_lon
lc_2,1,14,1,0.267,bc_lon
lc_2,1,15,1,0.325,bc_lon
lc_2,1,16,1,0.275,bc_lon
lc_2,1,17,1,0.247,bc_lon
